No.	halLeu	nipNip	galGal	aptHaa	aptOwe	aptRow	casCas	droNov	rheAme	rhePen	cryCin	tinGut	eudEle	notPer	anoDid	strCam	taeGut-aptFor	taeGut-galGal	aptHaa-aptOwe	aptHaa-aptRow	casCas-droNov	aptHaa-casCas	rheAme-rhePen	aptHaa-rheAme	cryCin-tinGut	eudEle-notPer	cryCin-eudEle	cryCin-anoDid	aptHaa-cryCin	aptHaa-strCam	taeGut-aptHaa
0	1	1	1	2	2	2	2	1	2	2	1	1	1	1	2	0	1	1	2	1	1	1	1	1	1	1	1	1	1	0	0
1	1	1	1	2	2	2	2	2	2	2	0	1	1	1	0	0	1	1	2	1	1	1	1	1	0	0	0	0	0	0	0
2	1	1	1	2	2	1	2	2	2	2	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3	1	1	1	2	2	2	2	2	2	2	1	1	1	1	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
4	1	1	1	2	2	2	2	2	2	2	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1
5	1	1	1	2	2	2	2	2	2	2	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
6	1	1	1	2	2	2	2	2	2	2	1	2	1	1	2	2	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1
7	1	1	1	2	2	2	2	2	2	2	1	1	1	1	2	2	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1
8	1	1	1	2	2	2	2	2	2	2	1	1	1	1	2	2	0	0	2	2	2	1	1	1	1	1	1	1	1	1	0
9	1	1	1	2	2	2	2	2	2	2	1	1	2	1	2	2	1	0	2	2	1	1	2	1	1	1	1	1	1	1	0
10	1	1	1	2	2	2	0	0	2	2	1	1	1	1	0	0	1	1	2	1	0	0	1	0	0	1	0	0	0	0	0
11	1	1	1	2	2	2	2	2	2	2	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
12	1	1	1	2	2	2	2	2	2	2	1	1	1	1	2	2	1	1	2	2	1	1	2	1	1	1	1	1	1	1	0
13	0	1	1	2	2	2	1	1	2	2	0	0	1	1	0	0	0	0	2	1	0	0	1	0	0	1	0	0	0	0	0
14	1	1	1	2	2	2	2	2	2	2	1	1	1	1	0	0	1	1	2	2	1	1	1	1	1	1	1	0	0	0	0
15	1	1	1	2	2	2	2	2	2	2	1	1	1	1	2	0	1	1	2	1	2	1	1	1	1	1	1	1	1	0	0
16	1	1	1	2	2	2	2	2	2	2	1	1	1	1	2	2	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1
17	1	1	1	2	2	2	2	2	2	2	1	1	1	1	0	0	1	1	1	1	1	0	1	0	1	1	1	0	0	0	0
18	1	1	1	2	2	2	2	2	2	2	1	1	1	1	0	0	1	1	2	1	1	1	1	1	0	0	0	0	0	0	0
19	1	1	1	2	2	2	2	2	2	2	1	1	1	1	0	0	1	1	2	2	1	1	1	1	1	1	1	0	0	0	0
20	1	1	1	2	2	2	2	2	2	2	1	1	1	1	0	0	1	0	2	1	1	1	2	1	0	1	0	0	0	0	0
21	1	1	1	2	2	2	2	2	2	2	1	1	1	1	0	0	1	1	2	1	1	1	1	1	1	1	1	0	0	0	0
22	1	1	1	2	1	0	2	2	2	2	0	0	1	1	0	0	1	1	1	0	1	0	1	0	0	1	0	0	0	0	0
23	1	1	1	2	2	2	2	2	1	2	1	2	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1
24	1	1	1	2	2	2	2	2	2	2	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
25	1	1	1	2	2	2	2	2	2	2	1	1	1	1	2	2	1	1	2	2	2	1	2	1	1	1	1	1	1	1	0
26	0	0	1	2	2	2	1	2	2	2	2	1	1	1	2	2	0	0	2	1	1	1	2	1	1	1	1	1	1	1	0
27	1	1	0	2	2	2	2	1	0	0	1	1	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0
28	1	0	1	2	2	2	2	2	2	2	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0
29	1	1	1	2	2	2	2	2	2	2	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1
30	1	1	1	2	2	2	2	2	2	2	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1
31	1	1	1	2	2	2	2	1	2	2	1	1	1	1	1	2	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1
32	1	1	1	2	2	2	2	2	2	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
33	1	1	1	2	2	2	2	2	2	2	1	1	1	1	2	2	1	0	2	1	2	1	1	1	1	1	1	1	1	1	0
34	1	1	1	2	2	2	2	2	2	2	1	1	1	1	1	0	1	1	2	1	1	1	1	1	1	1	1	1	1	0	0
35	1	1	0	2	2	2	2	2	2	2	1	1	1	1	2	0	0	0	2	2	1	1	2	1	1	1	1	1	1	0	0
36	1	1	1	2	2	2	2	2	2	2	1	1	1	1	2	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
37	1	0	0	2	2	2	2	2	2	2	1	1	1	1	2	2	0	0	2	2	2	1	2	1	1	1	1	1	1	1	0
38	1	1	1	2	2	2	2	2	2	2	1	1	1	1	2	2	1	0	2	2	2	1	1	1	1	1	1	1	1	1	0
39	1	1	1	2	2	2	2	2	2	2	1	1	1	1	2	2	1	0	2	2	1	1	2	1	1	1	1	1	1	1	0
40	0	0	1	2	2	2	2	2	2	2	1	1	0	1	0	0	0	0	2	1	1	1	1	1	0	0	0	0	0	0	0
41	0	1	0	2	2	2	2	2	2	2	1	1	1	1	2	2	0	0	2	2	1	1	2	1	1	1	1	1	1	1	0
